"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Application","Application_specific","Mode","Tribopositive","Tribonegative","Electrode","Open_circuit_voltage","Short_circuit_current","Power_density","Current_density","Charge_density","Thickness","Area","Operating_frequency"
"Snehamoyee Hazra","2022/11/11","Enhanced piezoelectric response in BTO NWs-PVDF composite through tuning of polar phase content","https://iopscience.iop.org/article/10.1088/1361-6528/ac9d41","10.1088/1361-6528/ac9d41","energy harvester","use of energy from motion","","","PVDF","","2 V","","10 μW cm−2","","","","","350 Hz"
"Xinsheng He","2023/02/03","Output characteristics of series-parallel triboelectric nanogenerators","https://iopscience.iop.org/article/10.1088/1361-6528/aca599","10.1088/1361-6528/aca599","energy harvester","use of energy from water/fluid","contact-separation","","","copper","132 V","30 μA","","","","","",""
"Muhammad Wajahat","2023/08/02","Comparative study and multi-parameter analysis to optimize device structure of triboelectric nanogenerators","https://iopscience.iop.org/article/10.1088/1361-6528/acd789","10.1088/1361-6528/acd789","","","contact-separation","polyamide","PDMS","Al","109 V","","","","","tribonegative layer 0.1 mm ","",""
"Jianwei He","2023/07/06","High-output soft-contact fiber-structure triboelectric nanogenerator and its sterilization application","https://iopscience.iop.org/article/10.1088/1361-6528/acdfd5","10.1088/1361-6528/acdfd5","","","","quartz","PVDF","CNT","3440 V","12 μA","","","","","",""
"Narong Amorntep","2023/07/31","Electrical performance enhancement of a triboelectric nanogenerator based on epoxy resin/BaTiO3 by Al nanopowder addition for low power electronic devices","https://iopscience.iop.org/article/10.1088/1361-6528/ace724","10.1088/1361-6528/ace724","energy harvester","","contact-separation","","","copper","32 V","","1.47 W cm−2","0.0368 μA cm−2","","","0.5×0.5 mm2",""
"Xiucai Wang","2023/08/29","Eco-friendly triboelectric nanogenerator based on degradable rape straw powder for monitoring human movement","https://iopscience.iop.org/article/10.1088/1361-6528/acee86","10.1088/1361-6528/acee86","sensor","tactile/motion sensor","","aluminum","","aluminum","78 V","5.3 μA","","","","","",""
"Sebghatullah Amini","2023/11/03","Polyvinyl alcohol-based economical triboelectric nanogenerator for self-powered energy harvesting applications","https://iopscience.iop.org/article/10.1088/1361-6528/ad0503","10.1088/1361-6528/ad0503","energy harvester","use of energy from water/fluid","contact-separation","","Kapton","aluminum","","","","","","","","6 Hz"
"Shazia Bugti","2023/11/24","Self-powered TENG probe for scanning surface charge distribution","https://iopscience.iop.org/article/10.1088/1361-6528/ad0983","10.1088/1361-6528/ad0983","sensor","tactile/motion sensor","contact-separation","","PDMS","copper","","","27 W m−2","","","","",""
"Zhaozhao Li","2023/12/27","A wave energy driven high-performance self-powered oil spill positioner","https://iopscience.iop.org/article/10.1088/1361-6528/ad13bc","10.1088/1361-6528/ad13bc","sensor","tactile/motion sensor","freestanding","hair","PVDF","copper","1400 V","3.49 μA","","","","","","0.9 Hz"
"Madhav Baraily","2024/06/20","PVDF-HFP encapsulated WS2 nanosheets in droplet-based triboelectric nanogenerators for possible detection of human Na+/K+ ion concentration","https://iopscience.iop.org/article/10.1088/1361-6528/ad5684","10.1088/1361-6528/ad5684","energy harvester","use of energy from water/fluid","","aluminum","PVDF","Al","","140 nA","54 μW cm−2","","","","",""
"Prerna Sinha","2024/07/01","The prospect of supercapacitors in integrated energy harvesting and storage systems","https://iopscience.iop.org/article/10.1088/1361-6528/ad5a7b","10.1088/1361-6528/ad5a7b","energy harvester","use of energy from motion","","","PVC","graphene oxide","","2 mA","1000 W m−2","8 A m−2","","","",""
"Meng Li","2024/08/01","Preparation and sensing performance of wet-spun fabric triboelectric nanogenerator for energy harvesting","https://iopscience.iop.org/article/10.1088/1361-6528/ad64df","10.1088/1361-6528/ad64df","energy harvester","use of energy from water/fluid","","silk","PVDF","carbon nanotube","38.4 V","451.5 nA","0.43 µW cm−2","6.35 mA cm−2","","","","4 Hz"
"Zhong Lin Wang","2021/09/07","From contact electrification to triboelectric nanogenerators","https://iopscience.iop.org/article/10.1088/1361-6633/ac0a50","10.1088/1361-6633/ac0a50","sensor","tactile/motion sensor","contact-separation","human skin","polydimethylsiloxane","Cu","","","500 W m−2","","1003 μC m−2","","1600 nm2","5 Hz"
"Alwathiqbellah Ibrahim","2019/01/25","A smart knee implant using triboelectric energy harvesters","https://iopscience.iop.org/article/10.1088/1361-665X/aaf3f1","10.1088/1361-665X/aaf3f1","energy harvester","use of energy from motion","contact-separation","aluminum","PDMS","Al","18 V","","","","","","","1 Hz"
"Hongze Zhang","2019/07/19","Pinching a triboelectric nanogenerator using soft pottery for powering electronics","https://iopscience.iop.org/article/10.1088/1361-665X/ab2430","10.1088/1361-665X/ab2430","energy harvester","use of energy from water/fluid","","nylon","","copper","179 V","5 μA","","","","","",""
"Senol Mutlu","2020/02/04","Expanding the versatility of poly(dimethylsiloxane) through polymeric modification: an effective approach for improving triboelectric energy harvesting performance","https://iopscience.iop.org/article/10.1088/1361-665X/ab6ba6","10.1088/1361-665X/ab6ba6","energy harvester","use of energy from motion","contact-separation","nylon","polytetrafluoroethylene","aluminum","","","","","22.3 μC m−2","","1 cm2","1.5 Hz"
"Xuecheng Yu","2020/03/16","Transparent and flexible hybrid nanogenerator with welded silver nanowire networks as the electrodes for mechanical energy harvesting and physiological signal monitoring","https://iopscience.iop.org/article/10.1088/1361-665X/ab7737","10.1088/1361-665X/ab7737","energy harvester","use of energy from motion","","","polydimethylsiloxane","carbon nanotube","30 V","3 μA","57 mW m−2","","","","2×3 cm2",""
"Kequan Xia","2020/08/10","Double-piezoelectric-layer-enhanced triboelectric nanogenerator for bio-mechanical energy harvesting and hot airflow monitoring","https://iopscience.iop.org/article/10.1088/1361-665X/aba48d","10.1088/1361-665X/aba48d","energy harvester","use of energy from motion","","hair","polytetrafluoroethylene","silver","187 V","32.8 µA","1 μW cm−2","","","tribopositive layer 117 µm ","",""
"Fang Yuan","2020/10/26","A smart Kevlar-based triboelectric nanogenerator with enhanced anti-impact and self-powered sensing properties","https://iopscience.iop.org/article/10.1088/1361-665X/abaf08","10.1088/1361-665X/abaf08","sensor","","","polycarbonate","polycarbonate","","5.47 V","","","","","","","10 Hz"
"Jiwon Park","2020/10/01","Ultra-stretchable on-body-based soft triboelectric nanogenerator for electronic skin","https://iopscience.iop.org/article/10.1088/1361-665X/abb358","10.1088/1361-665X/abb358","energy harvester","use of energy from motion","contact-separation","human skin","silicone rubber","Au","280 V","12 μA","150 mW m−2","","","","",""
"Kihong Kim","2021/06/09","Fully elastic multilayered triboelectric energy harvester made of polymer thin films and elastic tubes","https://iopscience.iop.org/article/10.1088/1361-665X/ac0480","10.1088/1361-665X/ac0480","energy harvester","use of energy from motion","contact-separation","","PDMS","","31.8 V","33 μA","","","","","","4 Hz"
"Md Mazbah Uddin","2022/02/11","Highly flexible and conductive stainless-steel thread based piezoelectric coaxial yarn nanogenerators via solution coating and touch-spun nanofibers coating methods","https://iopscience.iop.org/article/10.1088/1361-665X/ac5015","10.1088/1361-665X/ac5015","energy harvester","use of energy from water/fluid","","","silicone rubber","","25.6 V","41.25 nA","1.67 mW cm−2","","","","","2.11 Hz"
"Kamil Oflaz","2022/09/16","Analysis of electrospinning and additive effect on β phase content of electrospun PVDF nanofiber mats for piezoelectric energy harvester nanogenerators","https://iopscience.iop.org/article/10.1088/1361-665X/ac8f78","10.1088/1361-665X/ac8f78","energy harvester","use of energy from motion","","aluminum","PVDF","copper","8.68 V","","","","","","","170 Hz"
"Ping Zhang","2022/10/31","Carrying handle of milk carton inspired multi-layer, easy-to-assemble triboelectric nanogenerators for human motion sensing","https://iopscience.iop.org/article/10.1088/1361-665X/ac9bac","10.1088/1361-665X/ac9bac","sensor","tactile/motion sensor","contact-separation","cotton","PDMS","copper","200 V","","64.99 μW cm−2","","","","","2 Hz"
"Ping Zhang","2023/04/12","Enhancing output performance of wearable triboelectric nanogenerators by manipulating the permittivity of BaTiO3-base/PVA composite films","https://iopscience.iop.org/article/10.1088/1361-665X/acc9f1","10.1088/1361-665X/acc9f1","","","contact-separation","","PDMS","","72 V","2.5 μA","","","","","","1 Hz"
"Ping Zhang","2024/02/01","Enhanced performance triboelectric nanogenerator based on mullite/PVA composites for self-driven sensing and smart home control","https://iopscience.iop.org/article/10.1088/1361-665X/ad21b4","10.1088/1361-665X/ad21b4","sensor","","contact-separation","","PDMS","copper","74.58 V","2.92 μA","","","","","","2 Hz"
"Pattarinee White","2024/06/06","The investigation of the energy harvesting performance using electrospun PTFE/PVDF based on a triboelectric assembly","https://iopscience.iop.org/article/10.1088/1361-665X/ad508d","10.1088/1361-665X/ad508d","energy harvester","","contact-separation","nylon","PVDF","","","","348.5 mW m−2","","","","2 cm × 2 cm",""
"Zifan Li","2024/11/06","A compliant mechanism actuated bistable hybrid mode triboelectric nanogenerator","https://iopscience.iop.org/article/10.1088/1361-665X/ad8c05","10.1088/1361-665X/ad8c05","energy harvester","use of energy from water/fluid","contact-separation","","FEP","","248 V","","","","","","","1 Hz"
"Iman Aris Fadzallah","2024/12/27","Electrospun poly(vinylidene fluoride) nanofibers: a review on its utilization in energy harvesting devices","https://iopscience.iop.org/article/10.1088/1361-665X/ad9e5a","10.1088/1361-665X/ad9e5a","energy harvester","use of energy from wind","","hair","PVDF","carbon nanotube","800 mV","","10 mW cm−2","","260 μC m−2","","","35 Hz"
"Kwong Long Wong","2025/01/07","A triboelectric sensor with an inverted pendulum design for machine and human movement monitoring in freestanding mode","https://iopscience.iop.org/article/10.1088/1361-665X/ada331","10.1088/1361-665X/ada331","sensor","tactile/motion sensor","","","Kapton","","1.1 V","0.44 mA","0.011 µW m−2","","","","","15 Hz"
"Aliesha D Johnson","2025/02/20","Insights into the crystallization, topographical, and tribological properties of sustainable PEO-mica based triboelectric nanogenerators","https://iopscience.iop.org/article/10.1088/1361-665X/adb404","10.1088/1361-665X/adb404","sensor","tactile/motion sensor","contact-separation","mica","","copper","","","24.0 W m−2","45.5 mA m−2","152 μC m−2","","",""
"Zidong Zhang","2025/03/24","A multi-stable pendular triboelectric nanogenerator for ocean wave energy harvesting and level predicting","https://iopscience.iop.org/article/10.1088/1361-665X/adbceb","10.1088/1361-665X/adbceb","energy harvester","use of energy from wind","","","polytetrafluoroethylene","","730 V","2.9 µA","","","294 μC m−2","","","1.8 Hz"
"J Kaarthik","2025/04/03","Improved mechanical and magnetic energy harvesting in Sr/Zn-doped Ba0.85Ca0.15Zr0.1Ti0.9O3 composites-based generators","https://iopscience.iop.org/article/10.1088/1361-665X/adc04d","10.1088/1361-665X/adc04d","energy harvester","use of energy from motion","","","","","0.42 V","202 nA","711.1 µW cm−3","8 A cm−2","","","","50 Hz"
"Mohamed A A Abdelkareem","2025/08/29","Recent advances in vibration energy harvesting reinforced by bioinspired designs/structures","https://iopscience.iop.org/article/10.1088/1361-665X/adfb37","10.1088/1361-665X/adfb37","energy harvester","use of energy from wind","contact-separation","","fluorinated ethylene propylene","copper","1207 V","","45 mW m−2","11.8 mA m−2","","","","10 Hz"
"Lei-Jun Siau","2025/11/06","Sustainable and high performance triboelectric nanogenerator using water-processable and non-toxic Arabic gum-graphite composite green electrodes for enabling circular recyclability","https://iopscience.iop.org/article/10.1088/1361-665X/ae1915","10.1088/1361-665X/ae1915","energy harvester","use of energy from water/fluid","contact-separation","","polyvinylidene fluoride","graphene","100 V","0.2 µA","","","","","5×5 cm2",""
"Biao Li","2024/10/28","Research on triboelectric-piezoelectric energy harvesting technology driven by wind","https://iopscience.iop.org/article/10.1088/1402-4896/ad8818","10.1088/1402-4896/ad8818","energy harvester","use of energy from wind","contact-separation","nylon","","","34.76 V","","110.58 W m−2","","","","144 cm2","124.7 Hz"
"Xin Shi","2024/12/01","Semiconductor-based direct current triboelectric nanogenerators and its application","https://iopscience.iop.org/article/10.1088/1674-4926/24080021","10.1088/1674-4926/24080021","energy harvester","use of energy from wind","","nylon","PDMS","graphene","","8.01 μA","","124 A/m2[25]","","","",""
"Haochuan Wan","2019/11/01","Screen-printed soft triboelectric nanogenerator with porous PDMS and stretchable PEDOT:PSS electrode","https://iopscience.iop.org/article/10.1088/1674-4926/40/11/112601","10.1088/1674-4926/40/11/112601","","","contact-separation","polystyrene","polydimethylsiloxane","PEDOT","1.65 V","","","","","","",""
"Kai Dong","2021/10/01","Self-charging power textiles integrating energy harvesting triboelectric nanogenerators with energy storage batteries/supercapacitors","https://iopscience.iop.org/article/10.1088/1674-4926/42/10/101601","10.1088/1674-4926/42/10/101601","energy harvester","use of energy from motion","contact-separation","","silicone rubber","carbon fiber","4500 V","40 μA","","","","","",""
"Jing Wen","2020/04/01","Effects of Technical Parameters on Properties of Wear-Resistant Triboelectric Materials","https://iopscience.iop.org/article/10.1088/1742-6596/1533/2/022128","10.1088/1742-6596/1533/2/022128","energy harvester","","contact-separation","","","","29.85 V","12.18 μA","","","","","","2 Hz"
"Rubaiyet I. Haque","2016/11/01","Fully casted soft power generating triboelectric shoe insole","https://iopscience.iop.org/article/10.1088/1742-6596/773/1/012097","10.1088/1742-6596/773/1/012097","energy harvester","","","","PVDF","carbon","","","1.9 μW/cm2","","","","","0.2 Hz"
"Miguel Ángel Molina-García","2022/06/27","Fluorine-doped graphene as triboelectric material","https://iopscience.iop.org/article/10.1088/2053-1583/ac779e","10.1088/2053-1583/ac779e","","","contact-separation","","PDMS","Al","235.6 V","","363.3 mW m−2","8.47 mA m−2","","","30 mm2","4 Hz"
"Wahida Rahman","2017/09/15","Highly durable piezo-electric energy harvester by a super toughened and flexible nanocomposite: effect of laponite nano-clay in poly(vinylidene fluoride)","https://iopscience.iop.org/article/10.1088/2053-1591/aa8583","10.1088/2053-1591/aa8583","energy harvester","use of energy from motion","","","PDMS","","500 mV","28 nA","","","","","","5 Hz"
